data_registro_estoque,nome_projeto,codigo_sku,segmentacao_prioridade,saldo_estoque
2026-02-23,BikeBH,BBET0097,A,0.0
2026-02-23,BikeBH,BBET0102,A,0.0
2026-02-23,BikeBSB,BTB0043,A,0.0
2026-02-23,BikeBSB,BTB0063,A,0.0
2026-02-23,BikeBSB,BTB0158N,A,0.0
2026-02-23,BikeBSB,BTB0179-1,A,0.0
2026-02-23,BikeCuritiba,BCB0149,A,0.0
2026-02-23,BikeCuritiba,BTB0112-1,A,0.0
2026-02-23,BikeCuritiba,BTB0112-2,A,0.0
2026-02-23,BikeFloripa,BBET0096,A,0.0
2026-02-23,BikeFloripa,BBET0097,A,0.0
2026-02-23,BikePE,BBTI0004,A,0.0
2026-02-23,BikePE,BBTI0024,A,0.0
2026-02-23,BikePE,BBTN0001,A,0.0
2026-02-23,BikePE,BII0049,A,0.0
2026-02-23,BikePE,BSN0001,A,0.0
2026-02-23,BikePE,BTB0152N,A,0.0
2026-02-23,BikePE,BTB0158N,A,0.0
2026-02-23,BikePoa,BBTI0002,A,0.0
2026-02-23,BikePoa,BBTI0004,A,0.0
2026-02-23,BikePoa,BBTI0024,A,0.0
2026-02-23,BikePoa,BCB0178,A,0.0
2026-02-23,BikePoa,BTB0063,A,0.0
2026-02-23,BikePoa,BTB0072,A,0.0
2026-02-23,BikePoa,BTB0158N,A,0.0
2026-02-23,BikeRio,BBTI0002-1,A,0.0
2026-02-23,BikeRio,BBTI0006,A,0.0
2026-02-23,BikeRio,BBTI0024-1,A,0.0
2026-02-23,BikeRio,BTB0063,A,0.0
2026-02-23,BikeRio,BTB0063N,A,0.0
2026-02-23,BikeSSA,BBTI0002-1,A,0.0
2026-02-23,BikeSSA,BOKI0029,A,0.0
2026-02-23,BikeSSA,BTB0063,A,0.0
2026-02-23,BikeSSA,BTB0072,A,0.0
2026-02-23,BikeSSA,BTB0179-5,A,0.0
2026-02-23,BikeSampa,BBTI0000,A,0.0
2026-02-23,BikeSampa,BBTI0002-1,A,0.0
2026-02-23,BikeSampa,BBTI0006,A,0.0
2026-02-23,BikeSampa,BBTI0008,A,0.0
2026-02-23,BikeSampa,BEFI0002-1,A,0.0
2026-02-23,BikeSampa,BEFI0010,A,0.0
2026-02-23,BikeSampa,BEFI0043,A,0.0
2026-02-23,BikeSampa,BEFI0100,A,0.0
2026-02-23,BikeSampa,BTB0063,A,0.0
2026-02-23,BikeSampa,BTB0072,A,0.0
2026-02-23,BikeSampa,BTB0152N,A,0.0
2026-02-23,BikeSampa,BTB0158N,A,0.0
2026-02-23,BikeSampa,BTB0179-1,A,0.0
2026-02-23,BikeSampa,BTB0179-2,A,0.0